pauta,link,data,editoria,freq_edi
CHUVAS NO INTERIOR / AUMENTO DO VOLUME DOS RIOS/ALAGAMENTO DE BR 304,https://trello.com/c/qfz4guHY,2024-03-27T21:28:10.180Z,Natal,1515
PONTE DE IGAPÓ,https://trello.com/c/zAAdlntV,2024-04-01T17:44:25.633Z,Dia,1955
PONTE DE IGAPÓ,https://trello.com/c/zAAdlntV,2024-04-01T17:44:25.633Z,Natal,1515
SITUAÇÃO DAS FALÉSIAS NO RN,https://trello.com/c/WrtmFXNc,2024-03-27T20:53:39.687Z,Dia,1955
SITUAÇÃO DAS FALÉSIAS NO RN,https://trello.com/c/WrtmFXNc,2024-03-27T20:53:39.687Z,Natal,1515
GERAL DE FUNCIONAMENTO DO COMÉRCIO - SEMANA SANTA/REPARTIÇÕES,https://trello.com/c/Jdnda2tz,2024-03-27T17:08:08.562Z,Pauta sem editoria,0
ENTREVISTA COOPANEST,https://trello.com/c/7JmlHCGI,2024-04-01T17:41:39.575Z,Economia,704
ENTREVISTA COOPANEST,https://trello.com/c/7JmlHCGI,2024-04-01T17:41:39.575Z,Domingo,487
LEILÃO DO TERMINAL PESQUEIRO DE NATAL,https://trello.com/c/9Q1wwET3,2024-04-01T17:44:49.631Z,Pauta sem editoria,0
SEGUROS MULHER,https://trello.com/c/ZbMyuurp,2024-04-15T15:33:09.136Z,Domingo,487
SEGUROS MULHER,https://trello.com/c/ZbMyuurp,2024-04-15T15:33:09.136Z,Economia,704
PONTE DE IGAPÓ: JUSTIÇA INDEFERE PEDIDO DA PREFEITURA,https://trello.com/c/MXZz43At,2024-04-01T17:44:59.555Z,Dia,1955
PONTE DE IGAPÓ: JUSTIÇA INDEFERE PEDIDO DA PREFEITURA,https://trello.com/c/MXZz43At,2024-04-01T17:44:59.555Z,Natal,1515
PROPOSTA PARA A ENGORDA SAI NESTA TERÇA-FEIRA (26),https://trello.com/c/IQ91KhQt,2024-04-01T17:44:56.965Z,Natal,1515
PROPOSTA PARA A ENGORDA SAI NESTA TERÇA-FEIRA (26),https://trello.com/c/IQ91KhQt,2024-04-01T17:44:56.965Z,Dia,1955
PRESOS SEM SENTENÇA,https://trello.com/c/TsA7Oq3X,2024-03-27T21:23:39.556Z,Dia,1955
PRESOS SEM SENTENÇA,https://trello.com/c/TsA7Oq3X,2024-03-27T21:23:39.556Z,Natal,1515
GALPÃO RIBEIRA - MLB,https://trello.com/c/NJCIXyME,2024-04-01T18:02:20.979Z,Dia,1955
GALPÃO RIBEIRA - MLB,https://trello.com/c/NJCIXyME,2024-04-01T18:02:20.979Z,Natal,1515
COBERTURA ANIVERSÁRIO TN/ LANÇAMENTO DA CAMPANHA PUBLICITÁRIA,https://trello.com/c/NocUSfja,2024-04-01T17:44:52.679Z,Dia,1955
