IDmembers,reporter_fotografo,pauta,link,data
5f3d301a2c3e28123f5695f3,Felipe Salustino,ESPECIAL ENEM - MARISTA,https://trello.com/c/fGv16DmD,2023-11-09T16:25:17.408Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,PRAÇA AUGUSTO SEVERO/LARGO DOM BOSCO,https://trello.com/c/gjApYZAF,2023-11-06T20:46:13.742Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,BALANÇO MOSTRA ALTO NÚMERO DE MULHERES DESEMPREGADAS,https://trello.com/c/XAkOsPLp,2023-10-30T02:19:12.333Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,COBERTURA DO GO! RN 2023,https://trello.com/c/zOquoPLu,2023-11-04T17:44:05.271Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,LANÇAMENTO ESTUDO DE VIABILIDADE DO PORTO DE POTENGI,https://trello.com/c/vo4AZwRz,2023-11-06T20:46:15.788Z
60f844aeb93bca671c3fe551,Bruno Vital,TOP NATAL,https://trello.com/c/Q2VeFvRQ,2023-11-08T02:55:04.474Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ENGORDA DE PONTA NEGRA,https://trello.com/c/d6BCn2nQ,2023-06-14T15:53:28.922Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,PREPARAÇÃO DE CEMITÉRIOS PARA O DIA DOS FINADOS,https://trello.com/c/xNZ9SPCk,2023-10-30T20:08:53.211Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,AUDIÊNCIA PÚBLICA PISO DA ENFERMAGEM,https://trello.com/c/CBWVQCW3,2023-10-31T17:30:01.968Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ENEM - DICAS DE  PSICÓLOGO,https://trello.com/c/oVy9NaVI,2023-10-25T22:02:12.343Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ENTREVISTA PING-PONG ROBERTO SERQUIZ,https://trello.com/c/j8xD67fp,2023-10-30T18:24:59.151Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,SEQUESTRO DE CACHORROS,https://trello.com/c/kB88dsYM,2023-10-25T16:09:34.502Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,PERFIL DOS EMPREENDIMENTOS APÓS O NOVO PDN,https://trello.com/c/7zvd4GNE,2023-10-24T18:54:34.258Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,BALANÇO SOBRE OS NOVOS PEDIDOS DE ALVARÁS,https://trello.com/c/G8zMQyMA,2023-10-23T13:36:48.865Z
60f844aeb93bca671c3fe551,Bruno Vital,ENTREVISTA UELINTON RIBEIRO - PING-PONG,https://trello.com/c/jLhpa3nA,2023-06-13T03:58:38.436Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,MOSTRA DE PROFISSÕES,https://trello.com/c/hpQL3KDE,2023-10-22T21:58:56.161Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ATRASO NOS CONSIGNADOS,https://trello.com/c/hhsg8awo,2023-10-23T21:43:58.776Z
60f844aeb93bca671c3fe551,Bruno Vital,ENTREVISTA PING-PONG RONALDO AZEVEDO,https://trello.com/c/90xtNiYx,2023-10-18T22:13:25.679Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MINISTRA DA SAÚDE EM NATAL - PLANTÃO SÁBADO,https://trello.com/c/qYoig5Zz,2023-10-22T21:58:51.638Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,GERAL SOBRE O FURTO E ROUBO DE VEÍCULOS,https://trello.com/c/7GaLF8Mo,2023-10-22T22:34:14.231Z
60f844aeb93bca671c3fe551,Bruno Vital,BALANÇO SOBRE O REFIS,https://trello.com/c/L8lxLA6Y,2023-10-20T14:27:24.437Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,MERCADO DE APOSTAS ONLINE,https://trello.com/c/hc4ZR0pS,2023-10-15T22:59:05.808Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,COMITÊ DE REVITALIZAÇÃO DO CENTRO NA ALRN,https://trello.com/c/ljxjxD2W,2023-10-09T22:49:39.193Z
60f844aeb93bca671c3fe551,Bruno Vital,PLANTADORES DE CANA NÃO PAGARÃO TAXA DE ÁGUA BRUTA,https://trello.com/c/3Df4q7xz,2023-06-13T03:58:40.186Z
60f844aeb93bca671c3fe551,Bruno Vital,GERAL SOBRE O ENEM 2023,https://trello.com/c/GfubaqZn,2023-10-08T22:52:42.138Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,MOVIMENTAÇÃO RODOVIÁRIA PARA O FERIADÃO,https://trello.com/c/BHKK3Vvm,2023-10-11T16:35:02.759Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,FELIZARDO MOURA É LIBERADA NESTA SEGUNDA-FEIRA,https://trello.com/c/oR3C6OMQ,2023-10-20T14:26:53.977Z
60f844aeb93bca671c3fe551,Bruno Vital,ATUALIZAÇÃO SOBRE O MORMO,https://trello.com/c/6uvhQYvO,2023-08-01T21:55:44.299Z
60f844aeb93bca671c3fe551,Bruno Vital,EMISSÃO DA LICENÇA DO IBAMA PARA ENGORDA DA PRAIA DE PONTA NEGRA,https://trello.com/c/KRX966fC,2023-10-26T12:03:35.176Z
60f844aeb93bca671c3fe551,Bruno Vital,LANÇAMENTO DO NOVO PAC NO RN,https://trello.com/c/wMEU9ZWm,2023-10-20T14:26:51.482Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,REPERCUSSÃO DAS NOVIDADES DO SISTEMA TRIBUNA COM O MERCADO PUBLICITÁRIO,https://trello.com/c/iA4lExnj,2023-10-20T14:26:48.231Z
60f844aeb93bca671c3fe551,Bruno Vital,GREVE DOS MÉDICOS COOPERADOS,https://trello.com/c/wlRvhZ0i,2023-08-24T16:35:44.555Z
60f844aeb93bca671c3fe551,Bruno Vital,Diminuição do Bolsa família,https://trello.com/c/eWeQa9BO,2023-10-26T12:03:27.786Z
60f844aeb93bca671c3fe551,Bruno Vital,ROAD SHOW PETROBRAS COM FORNECEDORES,https://trello.com/c/WDnn2fVL,2023-10-20T14:26:44.357Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,GOVERNO ANUNCIA REAJUSTE PARA PROFESSORES,https://trello.com/c/AYQiQvtn,2023-10-20T14:26:29.145Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,ENTREVISTA CEO DA MOURA DUBEUX DIEGO VILLAR,https://trello.com/c/RpPay5in,2023-06-29T00:36:32.388Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,PARALISAÇÃO DA ENFERMAGEM POR 24 HORAS,https://trello.com/c/OQgtqsoc,2023-10-16T16:33:18.138Z
60f844aeb93bca671c3fe551,Bruno Vital,MOVIMENTAÇÃO COMÉRCIO DIA DAS CRIANÇAS,https://trello.com/c/EbmfOVou,2023-10-16T16:33:08.736Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,SITUAÇÃO DOS POTIGUARES EM ISRAEL - MAIS DE MIL TURISTAS QUEREM VOLTAR AO BRASIL,https://trello.com/c/VEGMlir1,2023-10-09T22:49:42.685Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,FESTA DO BOI - BALANÇO,https://trello.com/c/7hqLc5wY,2023-10-12T22:20:09.066Z
60f844aeb93bca671c3fe551,Bruno Vital,VISITA DO MINISTRO DA JUSTIÇA FLÁVIO DINO,https://trello.com/c/UQ1Rgveh,2023-10-11T23:02:01.572Z
60f844aeb93bca671c3fe551,Bruno Vital,GOVERNO ENVIA A ALRN PL SOBRE CONTINUIDADE DO ICMS A 20%,https://trello.com/c/Aiiv8zk1,2023-10-08T22:51:42.878Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,COLETIVA - PROGRAMA NACIONAL DE ENFRENTAMENTO ÀS ORGANIZAÇÕES CRIMINOSAS,https://trello.com/c/XF1TvvJA,2023-10-08T22:53:54.576Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,NOVA VARIANTE DA COVID E FEBRE MACULOSA,https://trello.com/c/hyZczqpa,2023-06-12T22:29:37.599Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,INVESTIGAÇÃO PICHAÇÃO DO FORTE,https://trello.com/c/QCt67VJl,2023-10-04T21:10:15.904Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,ENTREVISTA ZECA MELO - PRÊMIO PARA O SEBRAE RN,https://trello.com/c/xTUpuv0O,2023-10-08T22:51:21.521Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,MDIC SUSPENDE CONVÊNIO COM SETHAS,https://trello.com/c/GovRYXBX,2023-09-25T01:13:32.604Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,CIDADE ALTA,https://trello.com/c/tbMydlin,2023-10-08T22:51:33.957Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,FELIZARDO MOURA - BENEFÍCIOS DA OBRA E PRAZO DE CONCLUSÃO,https://trello.com/c/lBvzm8mr,2023-10-04T14:21:38.082Z
60f844aeb93bca671c3fe551,Bruno Vital,GREVE DOS ANESTESIOLOGISTAS,https://trello.com/c/87x2cb8m,2023-09-28T16:33:04.681Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,GOVERNO DO RN NÃO PAGA O TRANSPORTE ESCOLAR,https://trello.com/c/V3Qtiz5y,2023-10-04T14:21:36.730Z
5b6b219cf77e1d03567d2169,icarocesarcarvalho,SUSPENSÃO DA ELEIÇÃO PARA CONSELHO TUTELAR EM NATAL,https://trello.com/c/B4UmIRba,2023-10-04T14:21:31.140Z
5f3d301a2c3e28123f5695f3,Felipe Salustino,PROTESTO SINDSAÚDE -ENFERMAGEM - INSATISFAÇÃO DAS CATEGORIAS,https://trello.com/c/y53iVHiT,2023-10-04T14:21:29.882Z
60f844aeb93bca671c3fe551,Bruno Vital,MUDANÇA IMPOSTA PELA ANEEL PODE ENCARECER ENERGIA NO NORDESTE,https://trello.com/c/CviUcd4s,2023-10-04T14:21:27.240Z
